index,title,temp,time,summary,link
38,"Paulinho Paiakan, Amazon chief and indigenous rainforest protector, dies with coronavirus",https://edition.cnn.com//2020/06/18/americas/paulinho-paiakan-dies-brazil-scli-intl/index.html
39,Detained Americans Fast Facts,https://edition.cnn.com//2013/07/04/world/detained-americans-fast-facts/index.html
40,July 7 2005 London Bombings Fast Facts,https://edition.cnn.com//2013/11/06/world/europe/july-7-2005-london-bombings-fast-facts/index.html
41,She didn't want her neighbors to go hungry during lockdown. Now she is feeding thousands daily,https://edition.cnn.com//2020/06/18/africa/zimbabwe-coronavirus-lockdown-intl/index.html
42,Evidence of huge carnivorous dinosaurs discovered in Australia,https://edition.cnn.com//2020/06/18/asia/australia-carnivorous-dinosaur-scli-intl/index.html
43,White man rescued by Black Lives Matter protester is former police officer,https://edition.cnn.com//2020/06/18/europe/white-man-black-lives-matter-protester-police-gbr-scli-intl/index.html
44,Scientists have grown mini brains containing Neanderthal DNA,https://edition.cnn.com//2020/06/18/world/brain-organoids-neanderthal-dna-scn-trnd/index.html
45,Germany reports 650 new coronavirus cases in a meat processing plant,https://edition.cnn.com//2020/06/18/europe/germany-meat-processing-plant-coronavirus-cases-intl/index.html
46,A 20-foot-tall statue honors the frontline workers fighting Covid-19 around the world,https://edition.cnn.com//2020/06/18/world/latvia-covid19-statue-trnd/index.html
47,Siberia's prolonged unusually warm weather is an 'alarming sign': scientist,https://edition.cnn.com//2020/06/18/europe/siberia-warming-climate-crisis-intl-hnk/index.html
48,"What you need to know about coronavirus on Thursday, June 18",https://edition.cnn.com//2020/06/18/world/coronavirus-newsletter-06-18-20-intl/index.html
