index,title,temp,time,summary,link
310,,"일본, 北미사일 대비용 ‘이지스 어쇼어’ 돌연 백지화",1시간전,일본 정부가 북한의 탄도미사일 공격에 대비한다며 야심차게 밀어붙인 지상 배치형 미사일 방어 체계 ‘이지스 어쇼어’ 사업을 돌연  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=005&aid=0001332018
311,,EGYPT PANDEMIC CORONAVIRUS COVID19,1시간전,Covid-19 field hospital in Cairo A health worker checks medical equipme …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068009
312,,[심층취재] 6·15 선언 20주년…갈 길 먼 충북의 대북 교류,1시간전,"[KBS 청주] [앵커] 오늘은 분단 이후, 남북 정상이 처음 만나 번영을 다짐했던 역사적인 6·15 공동선언 20주년입니다. …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=056&aid=0010852926
313,,"검찰, 최서원 추징금 63억원 추징 완료…국고로 귀속",1시간전,벌금 200억원은 내달 12일까지 납부해야 (서울=연합뉴스) 성도현 기자 = 박근혜 정부 때 '국정농단' 사건으로 징역 18년형 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=001&aid=0011680080
314,,"""목회자 49%, 코로나19 이후에도 교인 감소할 듯""",1시간전,[CBS노컷뉴스 천수연 기자] [앵커] 코로나19로 비대면 방식이 요구되고 있지만 정작 교회 현장에서는 비대면을 위한 온라인 활 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=079&aid=0003372336
315,,유엔서 인종차별·경찰 과잉진압 문제 논의한다,1시간전,유엔 인권이사회가 긴급회의를 열어 인종 차별과 경찰의 과잉 진압 문제를 논의한다. 인권이사회가 15일(현지시각) 아프리카 54개 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=028&aid=0002501305
316,,첫 ‘상생형 일자리’ 선정…광주형 일자리 탄력 받는다,1시간전,"[KBS 광주] [앵커] 광주와 군산, 구미 등 전국각지에서 추진중인 지역 상생형 일자리 사업의 시초는 '광주형 일자리'입니다 …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=056&aid=0010852925
317,,"과천 국군지휘통신사령부 용역업체 직원, 코로나19 확진",1시간전,용인 수지 거주…14일 발열로 결근→15일 확진 (서울·경기=연합뉴스) 김인유 정빛나 기자 = 경기도 과천시 국군지휘통신사령부에 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=001&aid=0011680079
318,,CHINA HONG KONG RALLY,1시간전,Mourning for ?Raincoat Man? Pro-democracy activists chant slogans durin …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068008
319,,EGYPT PANDEMIC CORONAVIRUS COVID19,1시간전,Covid-19 field hospital in Cairo A health worker walks at the Ain Shams …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068007
320,,EGYPT PANDEMIC CORONAVIRUS COVID19,1시간전,Covid-19 field hospital in Cairo A health worker uses sanitizer at the  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068006
321,,청심국제중 재지정 평가 통과…부산국제중도 재지정,1시간전,경기 가평에 있는 청심국제중학교가 경기도교육청의 운영성과평가(재지정평가)를 통과한 것으로 확인됐다. 서울교육청이 대원국제중과 영 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=028&aid=0002501304
322,,실업급여 설명회장 ‘북적’ [포토뉴스],1시간전,[경향신문] 15일 서울 중구 서울지방고용노동청을 찾은 시민들이 줄지어 실업급여 설명회장으로 들어서고 있다. 이석우 기자 ▶ 장 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=032&aid=0003015049
323,,CHINA HONG KONG RALLY,1시간전,Mourning for ?Raincoat Man? Pro-democracy activists take part in a mour …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068000
324,,CHINA HONG KONG RALLY,1시간전,Mourning for ?Raincoat Man? Pro-democracy activists chant slogans durin …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067999
325,,SPAIN ROYALS PANDEMIC CORONAVIRUS COVID19 MUSEUM,1시간전,Spanish royal couple visits Madrid's Natural Sciences Museum as it reop …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067998
